Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,11/11/2015,311.702,376.948,381.724,298.752
BTC,11/12/2015,320.036,311.702,326.905,300.741
BTC,11/13/2015,337.893,320.036,345.601,316.738
BTC,11/16/2015,320.06,333.951,334.837,315.75799
BTC,11/17/2015,337.759,320.06,340.349,318.03499
BTC,11/18/2015,333.33299,337.759,337.759,331.434
BTC,11/19/2015,334.02499,333.33299,337.162,329.91199
BTC,11/20/2015,315.63099,334.02499,335.019,311.751
BTC,11/23/2015,322.606,326.365,326.895,320.986
BTC,11/24/2015,320.993,322.606,326.056,317.437
BTC,11/25/2015,318.337,320.993,322.934,316.263
BTC,11/26/2015,332.471,318.337,333.555,317.969
BTC,11/27/2015,349.138,332.471,368.511,332.078
BTC,11/30/2015,375.204,356.806,379.609,355.128
BTC,12/1/2015,377.798,375.204,382.494,369.342
BTC,12/2/2015,352.128,377.798,379.19899,348.112
BTC,12/3/2015,366.788,352.128,367.107,350.559
BTC,12/4/2015,358.443,366.788,370.8,355.428
BTC,12/7/2015,391.618,394.861,402.296,383.673
BTC,12/8/2015,395.59299,391.618,399.844,387.778
BTC,12/9/2015,421.424,395.59299,421.833,389.585
BTC,12/10/2015,415.076,421.424,423.909,405.313
BTC,12/11/2015,421.813,415.076,422.774,411.285
BTC,12/14/2015,437.021,435.091,442.47299,422.064
BTC,12/15/2015,453.676,437.021,457.457,436.742
BTC,12/16/2015,445.805,453.676,465.651,445.805
BTC,12/17/2015,451.102,445.805,462.524,440.205
BTC,12/18/2015,456.425,451.102,458.46,451.01899
BTC,12/21/2015,435.64099,460.238,461.011,425.026
BTC,12/22/2015,438.276,435.64099,445.533,432.993
BTC,12/23/2015,437.994,438.276,443.225,433.775
BTC,12/24/2015,456.572,437.994,456.858,437.705
BTC,12/25/2015,455.743,456.572,459.841,452.263
BTC,12/28/2015,427.817,419.338,429.09,414.186
BTC,12/29/2015,422.741,427.817,428.734,417.229
BTC,12/30/2015,431.029,422.741,434.21899,419.159
BTC,12/31/2015,424.962,431.029,433.368,421.192
BTC,1/1/2016,432.358,424.962,433.033,417.69899
BTC,1/4/2016,431.691,431.985,432.417,424.152
BTC,1/5/2016,433.732,431.691,435.151,430.595
BTC,1/6/2016,427.164,433.732,433.935,426.171
BTC,1/7/2016,441.021,427.164,443.528,426.602
BTC,1/8/2016,457.168,441.021,463.954,439.454
BTC,1/11/2016,450.312,445.327,451.436,441.187
BTC,1/12/2016,446.614,450.312,450.541,443.258
BTC,1/13/2016,431.156,446.614,447.731,422.105
BTC,1/14/2016,431.41,431.156,433.668,424.143
BTC,1/15/2016,416.29,431.41,432.253,413.981
BTC,1/18/2016,380.817,383.138,387.229,378.263
BTC,1/19/2016,382.738,380.817,387.476,374.485
BTC,1/20/2016,378.775,382.738,386.638,374.217
BTC,1/21/2016,417.439,378.775,424.651,378.007
BTC,1/22/2016,403.271,417.439,420.34,402.98
BTC,1/25/2016,397.885,388.538,405.799,387.458
BTC,1/26/2016,390.715,397.885,400.99699,386.522
BTC,1/27/2016,392.389,390.715,397.57,388.027
BTC,1/28/2016,381.356,392.389,396.568,377.095
BTC,1/29/2016,369.133,381.356,384.499,363.642
BTC,2/1/2016,372.157,378.174,379.529,364.288
BTC,2/2/2016,372.453,372.157,378.518,369.019
BTC,2/3/2016,372.762,372.453,374.829,369.263
BTC,2/4/2016,370.433,372.762,373.793,366.316
BTC,2/5/2016,386.954,370.433,391.268,370.408
BTC,2/8/2016,376.924,376.44,379.561,372.885
BTC,2/9/2016,372.434,376.924,378.688,370.769
BTC,2/10/2016,374.764,372.434,376.286,370.953
BTC,2/11/2016,379.186,374.764,383.564,374.649
BTC,2/12/2016,378.576,379.186,379.992,373.217
BTC,2/15/2016,405.621,397.23,410.239,395.046
BTC,2/16/2016,401.663,405.621,407.002,395.481
BTC,2/17/2016,407.017,401.663,408.124,399.79499
BTC,2/18/2016,417.492,407.017,421.021,407.015
BTC,2/19/2016,421.956,417.492,424.982,416.505
BTC,2/22/2016,436.14,439.61,448.29,427
BTC,2/23/2016,438.745,436.14,440.698,433.18199
BTC,2/24/2016,419.896,438.745,439.18,415.613
BTC,2/25/2016,422.617,419.896,427.026,411.124
BTC,2/26/2016,421.244,422.617,424.816,418.189
BTC,2/29/2016,438.28,425.502,439.049,424.357
BTC,3/1/2016,436.426,438.28,441.655,433.788
BTC,3/2/2016,434.001,436.426,436.426,428.502
BTC,3/3/2016,419.254,434.001,434.309,417.05
BTC,3/4/2016,421.597,419.254,423.522,415.639
BTC,3/7/2016,407.276,397.883,409.721,395.76599
BTC,3/8/2016,414.213,407.276,415.512,405.127
BTC,3/9/2016,410.739,414.213,415.091,408.481
BTC,3/10/2016,411.672,410.739,413.784,409.594
BTC,3/11/2016,416.708,411.672,416.972,411.124
BTC,3/14/2016,414.208,411.637,416.025,411.434
BTC,3/15/2016,416.034,414.208,416.441,412.91099
BTC,3/16/2016,414.167,416.034,417.124,412.6
BTC,3/17/2016,417.138,414.167,417.207,413.796
BTC,3/18/2016,417.154,417.138,419.506,416.736
BTC,3/21/2016,407.496,409.24,412.431,407.132
BTC,3/22/2016,415.125,407.496,415.14099,406.931
BTC,3/23/2016,417.318,415.125,417.716,415.125
BTC,3/24/2016,415.837,417.318,418.55,415.663
BTC,3/25/2016,414.75699,415.837,416.808,412.841
BTC,3/28/2016,424.297,416.233,427.001,416.233
BTC,3/29/2016,423.597,424.297,425.042,421.45
BTC,3/30/2016,414.613,423.597,423.847,407.878
BTC,3/31/2016,414.458,414.613,415.618,409.191
BTC,4/1/2016,416.012,414.458,416.938,413.381
BTC,4/4/2016,418.593,418.93999,419.61,417.203
BTC,4/5/2016,422.044,418.593,422.197,417.412
BTC,4/6/2016,422.29499,422.044,423.242,420.426
BTC,4/7/2016,420.553,422.29499,422.649,420.247
BTC,4/8/2016,421.616,420.553,422.011,418.746
BTC,4/11/2016,421.192,418.078,421.869,418.05
BTC,4/12/2016,426.383,421.192,426.383,419.383
BTC,4/13/2016,426.84399,426.383,427.787,424.38199
BTC,4/14/2016,425.494,426.84399,426.91,422.91999
BTC,4/15/2016,426.279,425.494,426.53599,423.09799
BTC,4/18/2016,429.318,430.453,430.639,426.267
BTC,4/19/2016,428.522,429.318,430.08,427.169
BTC,4/20/2016,435.926,428.522,437.109,428.081
BTC,4/21/2016,443.758,435.926,445.291,435.79
BTC,4/22/2016,446.776,443.758,452.802,441.301
BTC,4/25/2016,458.626,455.152,460.972,450.29
BTC,4/26/2016,464.429,458.626,469.281,455.962
BTC,4/27/2016,466.064,464.429,470.16099,462.439
BTC,4/28/2016,441.304,466.064,468.483,435.282
BTC,4/29/2016,446.236,441.304,450.647,438.484
BTC,5/2/2016,453.067,449.108,453.502,448.93999
BTC,5/3/2016,443.681,453.067,453.227,439.89399
BTC,5/4/2016,449.157,443.681,451.443,443.681
BTC,5/5/2016,447.73999,449.157,450.233,445.438
